_id,_accuracy,__text
EV.35a.105.1,incorrect,"No, Because he changed 2 variables, food and calcium."
EV.35a.106.1,incorrect,"No, Because he needs to change one thing only so keep the food or calcium the same. Only change one thing."
EV.35a.107.1,incorrect,"No, He did not do a good job because he changed more than one variable."
EV.35a.109.1,incorrect,"No, He change more than one variable which make it not a controlled environment."
EV.35a.110.1,incorrect,"No, He changed 2 factors."
EV.35a.112.1,incorrect,"No, Andrew did not do a good job on controlling his variables because he did not take care of all of the fairly evenly for his variables. He had more than one variable."
EV.35a.114.1,incorrect,"No, No, he did not only use one variable, he used 2."
EV.35a.115.1,incorrect,"No, He did not because he gave different amounts of food and calcium, so it made a different for the chickens to lay eggs."
EV.35a.127.1,incorrect,"No, He gave group y more food and calcium."
EV.35a.130.1,incorrect,"Yes, because he had a lot of egg."
EV.35a.137.1,incorrect,"No, He did not did a good because he did not gave the same amount of grams and the right calcium for the group."
EV.35a.139.1,incorrect,"No, No because he did not control all variables accept for one, he changed all the variables accept for one."
EV.35a.141.1,incorrect,"Yes, Because it was controlled because there were 10 chickens in each group."
EV.35a.144.1,incorrect,"Yes, why because he maybe wanted to see the difference of the 2 chickens."
EV.35a.147.1,incorrect,"No, I think he did not do a good job because he should not had the same daily care."
EV.35a.148.1,incorrect,"No, No because he changed more than one variable."
EV.35a.156.1,incorrect,"Yes, because he did a graph and did grams for calcium for group one and chicken feed for group."
EV.35a.157.1,incorrect,"Yes, It was all organized and neat."
EV.35a.158.1,incorrect,"Yes, Yes because he did a good graph."
EV.35a.209.1,incorrect,"Yes, well he did quite feed them good."
EV.35a.210.1,incorrect,"No, Because he did not feed the chickens the same grams."
EV.35a.211.1,incorrect,"Yes, because he wrote everything down."
EV.35a.224.1,incorrect,"Yes, Yes he recorded everything he did everyday."
EV.35a.233.1,incorrect,"No, because he is only supposed to change only one thing in his experiment."
EV.35a.234.1,incorrect,"Yes, Yes because he has all the stuff recorded right."
EV.35a.235.1,incorrect,"Yes, because he only changed one variable."
EV.35a.243.1,incorrect,"No, No he could have done it for a longer time of period."
EV.35a.245.1,incorrect,"No, Well, he did do a good job controlling the variables, but he needs to control one chicken at a time to get better results."
EV.35a.246.1,incorrect,"Yes, because he organized it so you can see what he did."
EV.35a.247.1,incorrect,"No, No, because he can only control one variable at a time."
EV.35a.248.1,incorrect,"No, He changed more than one variable."
EV.35a.253.1,incorrect,"Yes, Yes because if he did the same with both of the eggs it would be the same."
EV.35a.257.1,correct,"No, You should only have on different variable so you know why or why not the chickens laid more or less eggs."
EV.35a.258.1,incorrect,"No, No, because it is too much food and too much food of anything is unhealthy."
EV.35a.260.1,correct,"No, He changed 2 things we do not know if it worked or not."
EV.35a.261.1,incorrect,"No, Because was not controlling the environment."
EV.35a.263.1,incorrect,"No, because they might lay more egg than the others but maybe they just need a longer time with them."
EV.35a.381.1,incorrect,"Yes, because the variable helps you see the conditions of the chicken and helps you see the difference."
EV.35a.383.1,incorrect,Yes because he did different things to one group than the other also it was over a long period of time.
EV.35a.386.1,incorrect,"Yes, because there is the same amount of chickens but different amount of feed and calcium and how much eggs the chickens lay."
EV.35a.387.1,incorrect,Because he experimented that more feed equals more calcium and more calcium equally more eggs.
EV.35a.389.1,incorrect,"Yes, yes: because he had the same amount of information for each group and he gave all the important information."
EV.35a.395.1,incorrect,"Yes, Yes because it would be easier to observe them and maybe next time he knows what to do and how much food to feed them."
EV.35a.396.1,incorrect,"No, Because he should have put for experiment what the right temperature was and how much light they got."
EV.35a.397.1,correct,"No, He controlled 2 conditions at the same time so now he does not know which factor benefits the most."
EV.35a.400.1,incorrect,"Yes, Yes because he graphed everything and sorted mostly everything."
EV.35a.401.1,correct,"No, because he should of only had one condition that is different from the other not 2. That is so he knows what caused group y to lay more eggs than group x."
EV.35a.402.1,incorrect,"No, Because he gave them different amounts of both chicken feed and calcium."
EV.35a.406.1,incorrect,"Yes, Yes, because he kept it neat and it was easy to follow."
EV.35a.407.1,incorrect,"No, because they are the same amount of chickens."
EV.35a.421.1,incorrect,"Yes, he gathered all the information and kept track. The calcium added is even with the chicken food and they have the same range."
