_id,_accuracy,__text
FN.20a.114.1,incorrect,Anna can do weigh it but she will need walnuts and peanuts. And after she weighs them wait for 2 days and the check back and will know how much more fat is in them.
FN.20a.140.1,incorrect,First she has to get a brown piece of paper and make sure that the walnut and the peanut are the same weight. Then she has to smash it on the paper and let it sit overnight. Then measure the grease spots.
FN.20a.148.1,incorrect,"She can use a scale and she can but the amount of peanuts, and walnuts. And the smash it on a piece of paper and wait 2 days before you look to see how much fat there will be."
FN.20a.188.1,incorrect,Crush the peanuts and walnuts on brown piece of paper and let it sit out for a few days.
FN.20a.208.1,incorrect,Put the foods on 2 different papers and smash them and in 2 days look how big they are.
FN.20a.228.1,correct,Anna can measure one gram of peanuts and one gram of walnuts. Next she can smash the one gram of peanuts onto brown paper with a circle in the middle. Then do the same to the walnuts. Let the walnuts and peanuts sit in the same room for 2 days. Finally remove the walnuts and peanuts from the brown paper and turn over the brown paper. Then measure the grease spot with a clear centimeter graph.
FN.20a.231.1,incorrect,Anna could take a little piece of walnut and a same piece of peanut then take 2 pieces of brown paper and spread the walnut piece on one paper and the peanut piece on the other paper. Then she should wait a few days and then she should look on the back of each paper and see what nut has the biggest grease spot. That is the nut that has more fat in it.
FN.20a.234.1,incorrect,First you get the food. Then you get brown paper or some type of paper. Next you squish the peanuts and walnuts on 2 pieces of paper. Finally you wait 3 days before checking the grease marks.
FN.20a.235.1,incorrect,She can put them on a different piece of paper. The one that has the most biggest spot is the one that has more fat in it.
FN.20a.245.1,incorrect,She could use a brown piece of paper with a circle on it and place a walnut and on the other piece of paper place a peanut.
FN.20a.254.1,incorrect,Anna you can use the fat test. You will know how to do the other stuff.
FN.20a.276.1,incorrect,"First she can take 2 pieces of brown paper and make even circles on both. She then measures out a gram for each. After that she spreads around the peanut on paper, in the circle Anna does the same for the walnut. After that she waits a day. Then she takes the grease spots and measures the spots by using a grid. Whichever one has the most centimeters squared is the one with more fat."
FN.20a.278.1,incorrect,Anna can compare the fat in the walnuts and peanuts by doing the fat test.
FN.20a.313.1,incorrect,Anna can put both samples on 2 different pieces of paper and see which one makes a bigger grease spot.
FN.20a.331.1,incorrect,Get a brown paper towel then put the walnuts on one paper towel and the peanuts on the other paper towel. Third you leave both nuts for 2 days after 2 days see how much of a grease spot the nuts left and write it down using square centimeters.
FN.20a.365.1,incorrect,"First, she needs brown paper, a scale, and a gram of each food. Anna needs to take a gram of each food and let it sit for 2 days. Then she can determine how much fat is in each food by the size of the grease spot."
FN.20a.367.1,incorrect,1. Weigh one gram of each food. 2. Put one gram of food on 2 pieces of brown paper. 3. Leave for 2 days. 4. Check samples. 5. Compare grease spot.
FN.20a.381.1,correct,"To compare the fat in walnuts and peanuts you will need 2 brown papers, a grid, a spoon, and a scale. 1. Draw a even circle on your indicator. Brown papers. 2. Put your walnuts and peanuts on your indicator, but it has to be a even amount. 3. Then smash it up and weigh it. When you smash it up make sure it is in the circles. 4. Let it sit for 2 days. 5. After the second day put your walnuts or peanuts under your grid and circle your grease spots and count your whole squares. Circle the center circle and the grease spot around the center circle."
FN.20a.410.1,incorrect,First you get a scale and an indicator with a circle in the middle. Second you put the walnuts in the circle of the Indicator. The mass has to be one gram. Then you do the same with the peanut. Then you let it dry for 2 days. Once you do that you get a 400 square centimeters graph and measure the.
FN.20a.430.1,incorrect,Anna can smash them and put them in a brown paper and wait a couple of days and use a paper grid and the squares and then Anna will know which one is fat.
FN.20a.462.1,incorrect,She can get a brown paper bag and cut it. Then she should get the peanut and smash it on the paper bag. And she should do the same with the walnut. Last she should wait 2 days and see the results. Making sure the peanut and walnut weigh one gram.
FN.20a.474.1,incorrect,Walnuts and peanuts are kind the same because walnuts have more centimeters squared than peanuts.
FN.20a.476.1,incorrect,1. Measure one gram of each food. 2. Crunch them up. 3. Put them on 2 pieces of brown paper. 4. Wait for 2 days. 5. Take the food off the papers and put them under a grid.
FN.20a.499.1,correct,First she has to weigh the food and make sure it is the same one gram. Then smear the food sample in the circle that is in the middle of brown paper. Last wait for 2 days and wait for the result if the grease spot is big it means it has a lot of fat.
FN.20a.501.1,correct,"First, you use a scale to measure one gram. Next, you mash up the food. Then, you use brown paper with a black outline place the foods in 2 different pieces of paper. Finally, you wait 2 days and look at your results."
FN.20a.509.1,correct,"First you must have the same mass. Then, you must smear them on the same type of brown paper, but spread evenly in the circle. Finally, you must wait the same amount of time."
FN.20a.523.1,incorrect,First you need 2 cups a little cube of a toy and a measurement and 3 brown paper with circular. And wait for 2 days.
FN.20a.530.1,incorrect,"First you will need 2 cups, a scale, brown paper indicator food, and the same size circle on brown paper, one gram fat the cups on the scale then put the paper on the cups. Put the one gram on one side and the food on the other side, the scale must be even. After you did that with both foods keep the food on the brown paper for 2 days. After 2 days the one with the bigger grease spot is the one with the most fat in it."
FN.20a.539.1,incorrect,First you need brown paper indicator weight and one gram block. Take the weight in brown paper indicator and weight one gram. For the peanuts and walnuts on the brown paper and wait 48 hours.
FN.20a.550.1,incorrect,First take one gram or milligram and take a brown paper indicator and put it on a scale and when the food is one gram put it aside for 2 days and then see which one has the most grease.
FN.20a.568.1,incorrect,"You can take 2 small pieces of brown paper take one walnut out of the shell, smash it down on one of the pieces of paper, do the same with the peanut, and let them sit overnight maybe 2 nights then look at the brown papers. The one with a larger grease spot has more fat."
FN.20a.574.1,incorrect,The procedure Anna can use is she can get a grit chart to count the squares to see how much fat it has. Then see if they both compare to each other.
FN.20a.577.1,incorrect,You can grade a piece of brown paper get a walnut and peanut butter smash both on separate piece of paper and wait 24 hours. But make sure they weigh the same or the grease stain on one might be bigger.
FN.20a.581.1,incorrect,Anna should make sure one is not salted and one is not.
FN.20a.615.1,incorrect,She will measure and leave them 20 day to see how much she did it.
FN.20a.619.1,incorrect,You could check on the back of the bag that sees which one have more grease.
