_id,_accuracy,__text
HB.53a2.136.1,incorrect,Rib cage.
HB.53a2.138.1,incorrect,It is a rib because it is curved.
HB.53a2.141.1,incorrect,Long and small.
HB.53a2.142.1,incorrect,I know it is a rib because it is curved.
HB.53a2.172.1,incorrect,It come from the ribs.
HB.53a2.180.1,incorrect,Because other animals ribs look the same.
HB.53a2.181.1,incorrect,A rib looks like that because it is like sticking out.
HB.53a2.183.1,incorrect,This bone came from the cow's ribs.
HB.53a2.207.1,incorrect,It looks like a rib because it is rounded and flat.
HB.53a2.212.1,correct,It is thin and kind of rounded.
HB.53a2.216.1,incorrect,The ribs are one of the skinniest bones.
HB.53a2.219.1,incorrect,Because it is a vole's shape.
HB.53a2.243.1,correct,"I can tell that because it is a long, skinny curved bone."
HB.53a2.245.1,correct,Because it is skinny and curved.
HB.53a2.246.1,correct,Because it is curved and skinny.
HB.53a2.249.1,incorrect,It is long and skinny.
HB.53a2.257.1,correct,It is a thin curved blade.
HB.53a2.259.1,incorrect,This bone is the rib because they are about bones to protect.
HB.53a2.278.1,incorrect,"It is long, skinny, and it is shaped the same as ours."
HB.53a2.283.1,incorrect,It is curved a little like a rib.
HB.53a2.284.1,incorrect,The bone is curved like our rib bone.
HB.53a2.285.1,incorrect,The cow bone is curved like a rib.
HB.53a2.291.1,incorrect,I can tell because it is curved like a rib.
HB.53a2.294.1,incorrect,It is curved at the end.
HB.53a2.311.1,incorrect,It looks like a rib because of the way it is shaped.
HB.53a2.315.1,incorrect,I know that the cow bones are from the ribs because it is small.
HB.53a2.318.1,incorrect,The reason that I can tell is because it looks like a hook.
HB.53a2.320.1,incorrect,The cow bone is just like our bone it is a C like our rib bone.
HB.53a2.324.1,incorrect,It is a long skinny bone that looks like ribcages.
HB.53a2.325.1,incorrect,I know because it is curved like a C.
HB.53a2.328.1,incorrect,It is curved like a rodent and human rib.
HB.53a2.349.1,incorrect,It kind of looks like a human bone from the ribcage.
HB.53a2.352.1,incorrect,Because the shape it has.
HB.53a2.357.1,incorrect,The rib is always curved like this one.
