_id,_accuracy,__text
II.26.128.1,incorrect,They are different. Like bark not bark.
II.26.381.1,incorrect,They do not have the same rubbing material to be the same.
II.26.403.1,correct,That one has holes and the other one does not. One probably smooth and the other one bumpy.
II.26.407.1,incorrect,They are not the same letter B has big spots and letter A has lines and little spots.
II.26.424.1,incorrect,Rubbing A is not that clear because they rubbed it soft and B is rubbed hard.
II.26.431.1,correct,A. Might be soft B. might be a little bumpy.
II.26.451.1,incorrect,B is bumpy A is smooth.
II.26.458.1,incorrect,A tells you it has dashing lines B is telling us it has bumps.
II.26.460.1,incorrect,"Fabric B has lots of clear, round bumps. Fabric A has smaller, blurry bumps."
II.26.467.1,incorrect,They are bumpy.
II.26.470.1,correct,If you look you can tell that B is sort of like a metal gate and A is sort of like a wall.
II.26.471.1,incorrect,It is different because rubbing B has holes that are dark shaded wide and rubbing A has small holes that are mostly rough.
II.26.495.1,incorrect,A is harder to read than B.
II.26.501.1,incorrect,One of the rubbings are smooth and the other one looks rough.
II.26.522.1,incorrect,A was the second one behind the second one and B was the one that got rubbed.
II.26.524.1,incorrect,On A they colored it light and on B they colored it hard.
II.26.525.1,incorrect,A looks kind of smooth and the other one has bumps.
II.26.526.1,incorrect,I now one is same an hard.
II.26.527.1,incorrect,A is real bumping and it is hard B has small holes.
II.26.528.1,correct,A texture is smooth. B's texture is rough and bumpy.
II.26.531.1,incorrect,The fabrics in A show that the fabrics is not show up fabrics and B it tells you that it was bumpy.
II.26.536.1,incorrect,The B it shows be rubbing when we color.
II.26.539.1,correct,B has some rough and A is not that rough and A is smooth. And B is darker then A.
II.26.540.1,incorrect,The A one is kind of bluer and it must have been smooth because it does not have any bumps. B you could see it was bumpy.
II.26.543.1,incorrect,They are rubbed smooth and hard.
II.26.560.1,incorrect,I can tell that they are different fabrics because one of the fabrics are darker and have more lines and spots than the lighter one.
II.26.578.1,incorrect,If there bumpy or smooth or rough and show what the texture is.
II.26.580.1,incorrect,Well there are lines on A and on B it kind of looks like a screen.
II.26.581.1,incorrect,One is dark and the other is not and okay you can see them better.
II.26.593.1,correct,A was probably a much smoother fabric than B. Because B probably had more creases in it.
II.26.595.1,incorrect,The rubbings tell you that you cannot see A. And later a string to tell you that it is darker than A.
II.26.598.1,incorrect,"B shows us that there is a design on it, and you could probably fill it. A shows us that this fabric is not very noticeable."
II.26.606.1,incorrect,A has marks and lines and B does not have marks and lines like A it has polka dots on it and lines through the polka dots.
II.26.613.1,correct,"Rubbing A was smooth, and rubbing B was rough and bumpy."
