,prompt_overlap,avg_word_length,sent_length,cosineword2vec,cosinedoc2vec,fsts,noun_overlap,content_overlap,ttr,jc_sim,sps,cs_use,cosine_elmo,lsa1,lsa2,lsa3,score
0,0.0,2.9,10,0.1857,0.3122,0.61,0.0,0.0,-0.8135889355,0.3369614831,1.0,0.4388184547,0.5933,0.998006388466556,-0.015300852536267829,0.061230159983500274,0
1,0.1538,4.3,10,0.4195,-0.2859,0.6995,1.0,0.6,0.1160009649,0.8675888485,1.0,0.8085308670999999,0.7799,0.9854530885098544,-0.07578533063358865,-0.15211441091213826,1
2,0.1538,5.4286,7,0.5441,0.1921,0.4999,1.0,0.8,0.3286898393,0.8144563801000001,1.0,0.7906144261,0.8317,0.924881279020603,-0.16156471880862974,-0.34422588710540314,1
3,0.0769,4.3636,11,0.2752,0.2774,0.7107,0.5,0.2,-0.1225092547,0.2274247219,0.6666666667,0.4602205157,0.6365,0.9101444092765107,0.08247858957872636,0.4059980745321524,0
4,0.1538,3.4615,13,0.2205,0.0523,0.4572,0.5,0.2,-0.2883956026,0.437522304,0.8,0.5370386839,0.622,0.9164941338416518,0.07776509514591247,0.3924169881781212,0
5,0.2308,4.6429,14,0.341,0.8015,0.475,1.5,0.8,0.0796020846,0.8748592326000001,1.0,0.7114356159999999,0.6821,0.9954889585666892,-0.08714047275136733,0.03752694206136238,1
6,0.0,3.5714,7,0.2248,0.1875,0.318,0.0,0.0,-0.8215599259,0.0778407478,0.5,0.4400075376,0.6747,0.9907440806751416,-0.1323352934780494,0.030224769763339387,0
7,0.1538,4.5556,9,0.3752,-0.493,0.8833,0.5,0.8,0.0201160159,1.0,1.0,0.904891789,0.8569,0.9736052858077796,-0.09876057434410017,-0.20576466266678425,1
8,0.2308,3.6667,18,0.2935,-0.3435,0.475,1.5,0.8,-0.3429061651,0.6709462328,1.0,0.7945824862,0.6753,0.995653253765392,-0.0892027089313397,0.026785723542565268,1
9,0.3846,3.6923,26,0.222,-0.2032,0.9585,2.0,0.8,0.0002338157,0.5809898097999999,1.0,0.7786080241,0.6549,0.9691720690321028,-0.1724597653829984,-0.1759634335084251,0
10,0.1538,4.0,7,0.3006,-0.3751,0.4688,1.0,0.4,-0.2793362643,0.5435532985,0.75,0.7514802217000001,0.7026,0.967686860438126,-0.1741527663024888,-0.18235392544333545,0
11,0.0769,4.4,5,0.2832,-0.245,0.0679,0.5,0.4,-0.1780419682,0.75,0.75,0.6308611631000001,0.7094,0.9227828347553282,0.07144577439538392,0.3786388004443873,1
12,0.1538,3.75,8,0.3881,-0.1827,0.1141,1.0,0.6,0.1936059643,0.7740400764,1.0,0.8486215471999999,0.8759999999999999,0.9754897125672078,-0.09231149667475907,-0.19974585917413126,1
13,0.0769,4.6,5,0.2832,0.493,0.5256,0.5,0.4,-0.2340473288,0.75,0.75,0.6334737539,0.7178,0.9227828347553282,0.07144577439538392,0.3786388004443873,1
14,0.0769,4.0,4,0.2176,-0.8203,0.2729,0.5,0.4,-0.0067262965,0.2740400764,0.5,0.6627804040999999,0.7873,0.9245537065297392,0.06289531301863867,0.3758252563923939,1
15,0.3077,4.2941,17,0.3245,0.2281,0.0679,1.0,0.4,0.5864696182,0.326588599,0.9,0.3841011524,0.5808,0.9249172518067218,0.07636344185982258,0.3724200612985593,0
16,0.1538,3.7143,14,0.2305,0.1513,0.3148,0.5,0.4,-0.1518137329,0.3800134585,0.8571428570999999,0.5886592268999999,0.6105,0.9435665452769127,0.17496040431487242,0.28119571752814443,0
17,0.2308,5.3077,13,0.4032,-0.5608,0.941,1.5,1.0,0.1133035784,0.8624327140000001,1.0,0.8927801847,0.7709999999999999,0.9944507772186224,-0.10506142413005434,-0.005454250548233647,1
18,0.3077,4.3333,18,0.3742,0.8277,0.7911,2.0,1.2,0.013941078,0.5726217703,0.9,0.7961701751000001,0.7505,0.9419854167449904,-0.20316099239306856,-0.26718736087178685,1
19,0.1538,3.8462,13,0.2982,0.4643,1.0596,1.0,0.4,-0.0535679493,0.4602997498,0.8333333333,0.7779024243000001,0.6552,0.9704944226392448,-0.16823980909302694,-0.17273083761291916,0
20,0.0,3.75,4,0.0917,0.48,0.0656,0.0,0.0,-0.5129036308,0.0347681293,0.25,0.2236348838,0.5789,0.9700303165402752,-0.13797147156412295,-0.20001264466829088,0
21,0.1538,4.5,12,0.3733,0.1357,0.1103,1.0,0.6,-0.2528718257,0.6365025999,0.8571428570999999,0.6862235665,0.7095,0.9314670606925279,0.05347525273651252,0.35987430054060304,1
22,0.0,3.5714,7,0.1967,-0.2253,0.812,0.0,0.0,-0.1395719711,0.1069583179,0.75,0.5649726391,0.6512,0.9740698990588496,0.14970560190168092,0.169635092203052,0
23,0.2308,4.5,14,0.3872,0.1014,0.7188,1.5,1.0,0.1885227636,0.7557537087,1.0,0.8960860372,0.7718,0.9221382355433264,-0.22359907381738808,-0.315696893771616,1
24,0.0769,4.2727,11,0.3134,0.1355,0.0,0.5,0.4,-0.2433788726,0.5042964686,1.0,0.7470759749,0.7304,0.9510844841934364,0.03268794783811069,0.30719668291281754,1
25,0.0,3.8571,7,0.2282,-0.2166,0.0656,0.0,0.0,-0.6243335959,0.3638795499,0.75,0.5193179846,0.6851,0.9763968354889068,-0.050323838033899684,-0.21003983187192604,1
26,0.1538,4.1429,7,0.3362,-0.1107,0.3042,1.0,0.4,-0.1376033685,0.5778407478,0.75,0.7226212620999999,0.7717,0.9676612513430336,-0.17483193129864652,-0.1818392104239897,0
27,0.0769,3.875,8,0.2531,0.2734,0.3594,0.5,0.2,-0.1518457857,0.34609874170000005,0.75,0.6400946975,0.7421,0.9153661783921544,0.07108710096605067,0.3962970899867737,0
28,0.0769,6.25,4,0.3063,0.7186,1.0898,0.5,0.4,-0.2442757155,0.75,0.75,0.6863129735,0.7358,0.9209468869992332,0.06196438502155696,0.3847300954114742,1
29,0.1538,3.2353,17,0.27,0.2323,0.475,1.0,0.4,-0.08899001779999999,0.4602819767,1.0,0.6981455087999999,0.6491,0.9764438757334979,-0.1501419530313934,-0.15496693673962833,1
30,0.0,2.75,4,0.0496,-0.0988,0.8314,0.0,0.0,-0.5157027246,0.0299200012,0.25,0.0916910246,0.4935,0.5877723028112943,0.6530089280564588,0.477601360892599,0
31,0.3077,4.3889,18,0.3224,0.3752,0.8477,2.0,1.0,-0.1121174032,0.5352918187,0.875,0.8349577785,0.7213,0.9756454622290652,-0.15296049277370335,-0.15722283448106034,0
32,0.2308,3.65,20,0.3387,0.3212,0.6976,1.5,0.8,0.0930493883,0.588349099,1.0,0.7903285027,0.6912,0.9932753187850628,-0.012080213460882958,0.1151442987523546,1
33,0.2308,3.6471,17,0.3592,0.6459,0.9591,1.5,0.8,-0.16662394279999998,0.6192186602,0.8888888889,0.7406467795,0.6814,0.9960186256506768,-0.0819093439676012,0.03518176697856321,1
34,0.0,10.0,1,0.1,0.121,1.1286,0.0,0.0,-0.7658448420999999,0.25,0.25,0.5224226117,0.5088,0.9497421499043,0.0130204400342567,0.31276239677504786,0
35,0.0769,5.0,4,0.2001,0.758,0.9257,0.0,0.4,-0.0023257642,0.26807047510000004,0.5,0.7125014067000001,0.7372,0.6921768208495968,-0.3300290358545375,-0.6418505154406823,0
36,0.1538,4.5,20,0.2585,0.3107,0.2082,0.0,0.0,0.4243105525,0.1729998277,0.6923076923,0.4792433381,0.5582,0.7646354242969802,-0.2258800083151905,-0.603581717544283,0
37,0.0769,4.75,8,0.1748,-0.2941,0.7081,0.0,0.0,0.1139254711,0.32184260670000003,1.0,0.4559156001,0.5917,0.5990342923739624,-0.2530610984158934,-0.7596828265984216,0
38,0.0,4.0,7,0.0728,0.1927,0.5395,0.0,0.0,0.6292379062,0.0425986438,0.5,0.2834627628,0.5847,0.9826090864604526,-0.017697532844567924,0.1848409601159068,0
39,0.0769,4.0,16,0.2133,0.2658,0.9366,0.3333,0.2,0.6014471954999999,0.2239274198,0.875,0.7013476490999999,0.6576,0.6468582886333762,-0.27000923709125857,-0.7132106044582457,0
40,0.0,4.25,4,0.0422,0.0434,0.4598,0.0,0.0,0.7561981779000001,0.015523818899999996,0.25,0.2194518447,0.5462,0.640477183877709,-0.03525189356216815,-0.7671677006576597,0
41,0.0769,4.6,5,0.1848,0.8002,0.9985,0.0,0.2,-0.5380093882,0.3011251251,0.25,0.631937921,0.7242,0.6880116328147668,-0.2995101400609901,-0.6610095832226675,1
42,0.3077,5.1905,21,0.2852,0.1835,0.7668,0.6667,0.6,-0.3099081769,0.3239876667,0.8333333333,0.654505372,0.6837,0.732691138521443,-0.31559759278039123,-0.6029609066625911,0
43,0.0,2.8333,6,0.0738,-0.5059,0.4661,0.0,0.0,0.50662814,0.0470741963,0.5,0.231197834,0.5636,0.6784151327629934,0.19376554895798925,0.7086662258603688,0
44,0.0,3.6,15,0.0799,-0.3523,0.6413,0.0,0.0,0.1979986255,0.0462464555,0.75,0.27638393640000003,0.5296,0.802588763551588,0.5098816642142704,0.3096319833589853,0
45,0.0769,4.75,4,0.1158,-0.2209,0.5245,0.0,0.0,0.2626062536,0.0694063291,0.5,0.4702368379,0.6359,0.7159833427100194,-0.2938283973454903,-0.633271447228728,0
46,0.1538,4.1667,24,0.2124,-0.3763,0.5374,0.3333,0.4,0.2773677276,0.2472939144,0.75,0.6290765405,0.6143,0.7551907254631922,-0.2825218256640678,-0.5914967338860119,1
47,0.0,4.25,4,0.0799,-0.2451,0.4596,0.0,0.2,0.0380905835,0.06585842559999999,0.75,0.2665575147,0.523,0.3632991318676072,0.8737956705169336,-0.3232566580445102,0
48,0.1538,4.5,8,0.2154,-0.1894,0.4364,0.3333,0.2,-0.4272234782,0.3223332533,0.5,0.482437551,0.6427,0.7005125018581859,-0.31808747042109736,-0.6388290819158849,0
49,0.0769,4.6667,9,0.2825,0.4939,0.7469,0.0,0.2,-0.2367233907,0.2479562616,0.6666666667,0.5842179656,0.6689,0.6983984496540998,-0.2821979223481245,-0.6577263398581144,0
50,0.0769,4.5556,9,0.1876,-0.8205,0.5567,0.0,0.0,-0.5525402928,0.087469375,0.6,0.35727414490000003,0.5841,0.6921672428978404,-0.2952996997578624,-0.6585610033870198,1
51,0.1538,4.0,11,0.1976,0.2173,0.4956,0.3333,0.2,-0.3166784938,0.2455442279,1.0,0.4956318736,0.6792,0.6959503221572622,-0.3297967963931177,-0.6378771215352057,0
52,0.0769,5.1429,7,0.1836,0.14800000000000002,0.4661,0.3333,0.2,-0.3066487858,0.2838589342,0.75,0.5266190767,0.5916,0.7300982925225279,-0.2581858501837395,-0.632689931973466,0
53,0.0769,4.4,5,0.1212,-0.5621,0.1373,0.0,0.2,-0.5965264178999999,0.2694413533,0.5,0.4622044563,0.6146,0.7419043802944868,-0.3163327674409459,-0.5911949515540589,0
54,0.0769,3.1538,13,0.0968,0.8236,0.519,0.0,0.2,-0.0184546954,0.29707199030000003,0.5,0.3860679269,0.6396,0.7491251647173842,-0.3110748072221352,-0.5848452375619242,0
55,0.3077,4.4,10,0.263,0.4557,0.3465,0.3333,0.4,-0.5512496060000001,0.2309039522,1.0,0.384788096,0.6188,0.7253787008026309,-0.3233886770333682,-0.6076557446354762,0
56,0.0,5.8571,7,0.2112,0.4804,0.2974,0.0,0.2,0.16950468010000005,0.3128906033,1.0,0.3916391134,0.6491,0.8138820612931271,-0.2514549499216399,-0.5237999603523812,0
57,0.0,5.5,4,0.06,0.1334,0.2874,0.0,0.0,0.3546416317,0.0165505962,0.0,0.2758864164,0.574,0.8693665919312717,0.2241986466686824,0.4403824425039409,0
58,0.0,4.0,5,0.0584,-0.2274,0.3538,0.0,0.0,0.0754085969,2.499999999999997e-301,0.0,0.3038966954,0.5909,0.5238052028692873,0.1019785501642034,-0.8457118213395577,0
59,0.0,5.3333,3,0.0635,0.0934,0.6993,0.0,0.0,-0.6391588875,0.0,0.0,0.4613409042,0.6062,0.6708919528238793,0.0074678802363214785,-0.7415175105153876,0
60,0.0769,4.5385,13,0.1775,0.1288,1.0404,0.0,0.0,-0.35618346659999994,0.1140249951,0.6666666667,0.4519647658,0.5992,0.7798579349413202,-0.28411706856726954,-0.55776257731924,0
61,0.0,3.9231,13,0.0639,-0.2239,0.0,0.0,0.0,0.1162231369,0.0589981842,0.25,0.2356625944,0.5143,0.9220467733497834,-0.2754623280822171,-0.2719379590325308,0
62,0.2308,3.7143,14,0.1909,-0.1253,0.9915,0.3333,0.2,-0.3885106858,0.2278040738,0.6666666667,0.5771439671999999,0.6828,0.7256639187635511,-0.2298007283727036,-0.6485395147900405,0
63,0.0,3.3333,15,0.1897,0.2689,0.2974,0.0,0.0,0.6094517759,0.09161791,0.5714285714,0.36000964049999995,0.5323,0.9247281702759153,0.20419386273093265,0.32122060569206795,0
64,0.0769,4.3,10,0.204,0.7195,0.0,0.0,0.0,-0.0867304376,0.0788406041,0.8,0.3715161979,0.5642,0.9635925564603728,-0.18002595020223178,-0.19768672790034916,0
65,0.0,4.5,4,0.0799,0.2218,0.3659,0.0,0.0,-0.0670797962,0.06558508,0.5,0.2589989007,0.5605,0.953516751630034,0.20931778035833587,0.21677608536636847,0
66,0.0769,4.8,5,0.1229,-0.1065,0.2775,0.0,0.0,-0.195166347,0.0700567175,0.5,0.2234670371,0.5794,0.6974473369373247,-0.2962176433444784,-0.6525506263658607,0
